Timestamp,TrafficCount
01-01-2010,96.44
01-02-2010,60.38
01-03-2010,89.21
01-04-2010,143.82
01-05-2010,132.62
01-06-2010,141.79
01-07-2010,166.93
01-08-2010,113.37
01-09-2010,62.25
01-10-2010,96.71
01-11-2010,104.27
01-12-2010,136.92
01-13-2010,163.76
01-14-2010,89.66
01-15-2010,61.07
01-16-2010,69.9
01-17-2010,67.76
01-18-2010,133.61
01-19-2010,135.71
01-20-2010,132.21
01-21-2010,183.89
01-22-2010,108.26
01-23-2010,95.3
01-24-2010,67.07
01-25-2010,121.69
01-26-2010,170.67
01-27-2010,148.16
01-28-2010,165.99
01-29-2010,108.17
01-30-2010,95.53
01-31-2010,96.78
02-01-2010,190.66
02-02-2010,176.54
02-03-2010,159.39
02-04-2010,185.98
02-05-2010,101.39
02-06-2010,116.68
02-07-2010,71.37
02-08-2010,119.6
02-09-2010,190.15
02-10-2010,212.55
02-11-2010,177.85
02-12-2010,137.07
02-13-2010,111.88
02-14-2010,91.24
02-15-2010,142.54
02-16-2010,181.33
02-17-2010,228.02
02-18-2010,189.54
02-19-2010,103.15
02-20-2010,134.66
02-21-2010,125.6
02-22-2010,150.51
02-23-2010,214.91
02-24-2010,234.02
02-25-2010,210.76
02-26-2010,132.64
02-27-2010,125.08
02-28-2010,149.63
03-01-2010,197.81
03-02-2010,193.49
03-03-2010,209.31
03-04-2010,165.38
03-05-2010,129.14
03-06-2010,158.41
03-07-2010,180.39
03-08-2010,176.61
03-09-2010,235.4
03-10-2010,227.68
03-11-2010,181.46
03-12-2010,172.47
03-13-2010,180.78
03-14-2010,149.68
03-15-2010,221.46
03-16-2010,148.59
03-17-2010,242.81
03-18-2010,203.22
03-19-2010,159.26
03-20-2010,147.77
03-21-2010,103.86
03-22-2010,179.67
03-23-2010,225.67
03-24-2010,261.7
03-25-2010,190.42
03-26-2010,148.69
03-27-2010,134.93
03-28-2010,178.28
03-29-2010,195.06
03-30-2010,205.01
03-31-2010,238.93
04-01-2010,206.98
04-02-2010,194.14
04-03-2010,130.78
04-04-2010,147.89
04-05-2010,177.55
04-06-2010,182.02
04-07-2010,233.69
